location_id,name,rating,num_reviews,category,subcategory,street1,city,country,postalcode,address_string,tags,luxury_score
3214902,Time Out Market Lisboa,4.3,25050,attraction,"food_drink, landmarks, attractions, classes, activities",Avenida 24 de Julho,Lisbon,Portugal,1200-479,"Avenida 24 de Julho, Lisbon 1200-479 Portugal","['food_drink', 'landmarks', 'attractions', 'classes', 'activities']",45.95
1746966,Inside Lisbon Tours,4.8,11966,attraction,"food_drink, sightseeing_tours, activities",Rua Ivone Silva 6 70ESQ,Lisbon,Portugal,1050-124,"Rua Ivone Silva 6 70ESQ, Lisbon 1050-124 Portugal","['food_drink', 'sightseeing_tours', 'activities']",34.366
195106,Calouste Gulbenkian Museum,4.6,8709,attraction,"shopping, museums, attractions",Avenida de Berna 45A,Lisbon,Portugal,1067-001,"Avenida de Berna 45A, Lisbon 1067-001 Portugal","['shopping', 'museums', 'attractions']",26.509
15518965,EcoMassage Lisbon,4.9,1553,attraction,"wellness_spas, activities",Rua aurea 260,Lisbon,Portugal,1100-062,"Rua aurea 260 Praça Rossio, Lisbon 1100-062 Portugal","['wellness_spas', 'activities']",26.253
10807704,Nosso Tejo,4.8,2734,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",,Lisbon,Portugal,1100-278,Lisbon 1100-278 Portugal,"['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",26.134
10113758,Discover Lisbon,4.8,5445,attraction,"nightlife, sightseeing_tours, activities",,Lisbon,Portugal,1100,Lisbon 1100 Portugal,"['nightlife', 'sightseeing_tours', 'activities']",25.845
4289715,Lisbon by Boat,4.9,2033,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities","Padrao dos Descobrimentos , Doca de Belem",Lisbon,Portugal,1300-000,"Padrao dos Descobrimentos , Doca de Belem, Lisbon 1300-000 Portugal","['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",25.733
8460163,ColourTrip Lisbon,5.0,2983,attraction,"sightseeing_tours, activities, outdoor_activities",,Lisbon,Portugal,,Lisbon Portugal,"['sightseeing_tours', 'activities', 'outdoor_activities']",24.983
3203667,Around Lisbon,4.8,1546,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",24.945999999999998
7374624,Culinary Backstreets Lisbon,5.0,1727,attraction,"food_drink, sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['food_drink', 'sightseeing_tours', 'activities']",24.727
2169079,Lisbon by Segway,4.9,1538,attraction,"food_drink, sightseeing_tours, activities",Rua dos Douradores 16,Lisbon,Portugal,1100-206,"Rua dos Douradores 16, Lisbon 1100-206 Portugal","['food_drink', 'sightseeing_tours', 'activities']",24.238
